Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-06-21 18:54:45,NQ,30356.25,30.0,0.0,0,0,0,0
2026-06-21 18:55:45,NQ,30354.0,30.0,0.0,0,0,0,0
2026-06-21 18:56:45,NQ,30353.25,30.0,0.0,0,0,0,0
2026-06-21 18:57:45,NQ,30351.25,30.0,0.0,0,0,0,0
2026-06-21 18:58:45,NQ,30347.5,30.0,0.0,0,0,0,0
2026-06-21 18:59:45,NQ,30351.75,0.0,35.0,0,0,0,0
2026-06-21 19:00:45,NQ,30395.0,0.0,35.0,0,0,0,0
2026-06-21 19:01:45,NQ,30422.0,0.0,0.0,0,0,0,0
2026-06-21 19:02:45,NQ,30442.75,0.0,0.0,0,0,0,0
2026-06-21 19:03:45,NQ,30469.75,0.0,0.0,0,0,0,0
2026-06-21 19:04:45,NQ,30482.75,0.0,25.0,0,0,0,0
2026-06-21 19:05:45,NQ,30508.5,0.0,25.0,0,0,0,0
2026-06-21 19:06:45,NQ,30516.5,0.0,0.0,0,0,0,0
2026-06-21 19:07:45,NQ,30513.0,70.0,0.0,0,1,0,0
2026-06-21 19:08:45,NQ,30497.5,50.0,35.0,0,1,0,0
2026-06-21 19:09:45,NQ,30493.0,50.0,35.0,0,1,0,0
2026-06-21 19:10:45,NQ,30489.75,70.0,35.0,0,1,0,0
2026-06-21 19:11:45,NQ,30486.25,70.0,35.0,0,1,0,0
2026-06-21 19:12:45,NQ,30476.5,70.0,0.0,0,1,0,0
2026-06-21 19:13:45,NQ,30477.25,40.0,0.0,0,0,0,0
2026-06-21 19:14:45,NQ,30493.75,20.0,0.0,0,0,0,0
2026-06-21 19:15:45,NQ,30489.75,70.0,0.0,0,1,0,0
2026-06-21 19:16:45,NQ,30499.75,40.0,0.0,0,0,0,0
2026-06-21 19:17:45,NQ,30493.5,70.0,35.0,0,1,0,0
2026-06-21 19:18:45,NQ,30531.25,0.0,35.0,0,0,0,0
2026-06-21 19:19:45,NQ,30526.0,30.0,0.0,0,0,0,0
2026-06-21 19:20:45,NQ,30525.75,70.0,0.0,0,1,0,0
2026-06-21 19:21:45,NQ,30517.0,70.0,0.0,0,1,0,0
2026-06-21 19:22:45,NQ,30509.75,50.0,0.0,0,1,0,0
2026-06-21 19:23:45,NQ,30513.0,40.0,0.0,0,0,0,0
2026-06-21 19:24:45,NQ,30529.0,20.0,35.0,0,0,0,0
2026-06-21 19:25:45,NQ,30521.75,70.0,35.0,0,1,0,0
2026-06-21 19:26:45,NQ,30543.25,40.0,35.0,0,0,0,0
2026-06-21 19:27:45,NQ,30558.0,0.0,35.0,0,0,0,0
2026-06-21 19:28:45,NQ,30540.25,50.0,0.0,0,1,0,0
2026-06-21 19:29:45,NQ,30566.0,20.0,0.0,0,0,0,0
2026-06-21 19:30:45,NQ,30567.5,0.0,0.0,0,0,0,0
2026-06-21 19:31:45,NQ,30552.25,50.0,0.0,0,1,0,0
2026-06-21 19:32:45,NQ,30561.75,20.0,15.0,0,0,0,0
2026-06-21 19:33:45,NQ,30556.5,50.0,15.0,0,1,0,0
2026-06-21 19:34:45,NQ,30561.0,20.0,40.0,0,0,0,0
2026-06-21 19:35:45,NQ,30560.75,50.0,60.0,1,1,0,0
2026-06-21 19:36:45,NQ,30561.75,20.0,60.0,0,0,0,0
2026-06-21 19:37:45,NQ,30557.75,30.0,35.0,0,0,0,0
2026-06-21 19:38:45,NQ,30553.25,30.0,35.0,0,0,0,0
2026-06-21 19:39:45,NQ,30553.5,0.0,0.0,0,0,0,0
2026-06-21 19:40:45,NQ,30558.75,0.0,0.0,0,0,0,0
2026-06-21 19:41:45,NQ,30565.5,0.0,0.0,0,0,0,0
2026-06-21 19:42:45,NQ,30562.25,30.0,0.0,0,0,0,0
2026-06-21 19:43:45,NQ,30570.75,0.0,35.0,0,0,0,0
2026-06-21 19:44:45,NQ,30576.75,40.0,25.0,0,0,0,0
2026-06-21 19:45:45,NQ,30588.25,20.0,25.0,0,0,0,0
2026-06-21 19:46:45,NQ,30591.25,40.0,0.0,0,0,0,0
2026-06-21 19:47:45,NQ,30598.5,40.0,0.0,0,0,0,0
2026-06-21 19:48:45,NQ,30592.0,70.0,0.0,0,1,0,0
2026-06-21 19:49:45,NQ,30603.5,40.0,35.0,0,0,0,0
2026-06-21 19:50:45,NQ,30593.25,70.0,35.0,0,1,0,0
2026-06-21 19:51:45,NQ,30593.0,70.0,35.0,0,1,0,0
2026-06-21 19:52:45,NQ,30600.25,40.0,35.0,0,0,0,0
2026-06-21 19:53:45,NQ,30604.5,20.0,0.0,0,0,0,0
2026-06-21 19:54:45,NQ,30604.5,50.0,0.0,0,1,0,0
2026-06-21 19:55:45,NQ,30615.25,20.0,0.0,0,0,0,0
2026-06-21 19:56:45,NQ,30616.0,20.0,0.0,0,0,0,0
2026-06-21 19:57:45,NQ,30618.25,20.0,15.0,0,0,0,0
2026-06-21 19:58:45,NQ,30618.75,20.0,40.0,0,0,0,0
2026-06-21 19:59:45,NQ,30617.5,50.0,15.0,0,1,0,0
2026-06-21 20:00:45,NQ,30617.0,50.0,35.0,0,1,0,0
2026-06-21 20:01:45,NQ,30620.25,20.0,35.0,0,0,0,0
2026-06-21 20:02:45,NQ,30620.5,0.0,40.0,0,0,0,0
2026-06-21 20:03:45,NQ,30622.25,0.0,40.0,0,0,0,0
2026-06-21 20:04:45,NQ,30631.0,0.0,0.0,0,0,0,0
2026-06-21 20:05:45,NQ,30641.75,0.0,0.0,0,0,0,0
2026-06-21 20:06:45,NQ,30643.75,0.0,0.0,0,0,0,0
2026-06-21 20:07:45,NQ,30646.0,0.0,0.0,0,0,0,0
2026-06-21 20:08:45,NQ,30636.75,30.0,0.0,0,0,0,0
2026-06-21 20:09:45,NQ,30636.25,30.0,0.0,0,0,0,0
